Job Title,Company,Location,Salary Estimate,Job Description,Job Age
Founding Engineer (AI),LinuxRecruit,"London, England",£100K - £170K (Employer provided),"As we know, every hospital, school, pub etc must meet strict safety and compliance requirements. They’re building a fully AI native platform that automates the…&hellip;",24h
AI / ML Engineer,BPM,Remote,FCFA 150K - FCFA 180K (Employer provided),"Strong background in machine learning, data science, and applied AI. Familiarity with product development lifecycles and agile delivery practices.&hellip;
      
        Skills: Azure, SQL, Analysis skills, Product development, Machine learning",30d+
Applied AI Engineer,Anthropic,"London, England",£225K - £240K (Employer provided),"For sales roles, the range provided is the role’s On Target Earnings (""OTE"") range, meaning that the range includes both the sales commissions/sales bonuses…&hellip;
      
        Skills: Software deployment, AI, Communication skills, Python",30d+
Software Engineer (Python) - AI Platform,Revolut,Remote,FCFA 28K - FCFA 40K (Employer provided),"Partnering with product teams to design and deliver accessible AI solutions. Versioning data and models and managing a central feature store.&hellip;
      
        Skills: Ansible, Software deployment, Distributed systems, Terraform, SDKs",30d+
"Junior Software Engineer, Central AI Lab",Jonas Software,Remote,#N/A,"Solid coding ability in at least one of: Python, TypeScript/JavaScript, C#, Java (plus willingness to learn what's needed).&hellip;
      
        Skills: Azure, C#, Git, Java, AWS",30d+
AI Research Engineer,Normal Computing,"London, England",£300K - £400K (Employer provided),"You’ll write production‑quality research code and work closely with engineering to ship improvements to customers.&hellip;
      
        Skills: AI, Python",30d+
AI Research Engineer - Pre training (100% Remote),Tether.to,"London, England",£48K - £123K (Glassdoor est.),"You will have a deep expertise in LLM architectures, a strong grasp of pre-training optimization with a hands-on, research-driven approach.&hellip;
      
        Skills: Software deployment, English, Machine learning, Natural language processing, Scalability",30d+
AI Solutions Engineer,Elekta,"Crawley, West Sussex, South East England, England",£41K - £52K (Glassdoor est.),"The AI Solutions Engineer will play a key role in Elekta’s AI‑driven service transformation by designing intelligent solutions, solving complex problems, and…&hellip;
      
        Skills: AI",7d
AI Engineer,DXC Technology,"Newcastle upon Tyne, England",£27K - £47K (Glassdoor est.),"Knowledge of reinforcement learning methods or tools (Q-learning, policy gradients, RLlib). A growth mindset and passion for continuous learning.&hellip;",30d+
AI Engineer,Durlston Partners,"London, England",£150K (Employer provided),"In this role, you will design, develop, and deploy machine learning models and AI-driven solutions to enhance trading strategies, portfolio optimization, risk…&hellip;
      
        Skills: TensorFlow, Cloud infrastructure, Azure, Rust (programming language), Big data",30d+
AI Engineer,WSP,"Cambridge, East of England, England",£38K - £48K (Glassdoor est.),"Strong understanding of machine learning algorithms and natural language processing techniques. To enhance work-life balance, WSP offers the “WSP My Hour,”…&hellip;
      
        Skills: Azure, Machine learning, Natural language processing, AI",30d+
"AI Engineer, Senior Associate",Partners Capital,"London, England",£101K - £127K (Glassdoor est.),"Approximately 3+ years professional software engineering experience, including 1–2 years building production AI/ML or LLM‑based systems.&hellip;
      
        Skills: Azure, Node.js, React, Business processes, Git",30d+
Founding AI Platform Engineer (MLOps / Backend),Gamingtec,Remote,#N/A,"Ability to collaborate closely with ML and product teams and move ambiguous work to completion; Support experimentation and measurement infrastructure so…&hellip;
      
        Skills: Cloud infrastructure, Software deployment, APIs, SaaS, Python",21d
Applied AI Engineer,Colibri Digital,Remote,#N/A,"2 - 5 years experience in a software engineering, machine learning or AI-related role. A collaborative culture focused on learning, excellence and continuous…&hellip;
      
        Skills: Azure, Git, Google Cloud Platform, AWS, Machine learning",30d+
Applied AI Engineer,Arena Entertainment,"London, England",£65K - £110K (Glassdoor est.),"You hold yourself to a high bar and it shows in everything you build. Direct access to senior engineers and product leadership. This is not a research role.&hellip;
      
        Skills: Distributed systems, APIs, IT, AI",24h
AI Engineer,Specter Labs,"London, England",£65K - £110K (Glassdoor est.),"Previous work in data-intensive products. Conversational AI interfaces within the product together with the frontend team.&hellip;
      
        Skills: DevOps, SQL, APIs, AI, TypeScript",30d+
Senior AI Engineer,Reward Gateway,"London, England",£85K - £90K (Employer provided),"Strong data engineering capabilities, including dataset creation and validation, ETL development, SQL schema design, and the definition and tracking of…&hellip;
      
        Skills: Cloud infrastructure, Node.js, React, Kubernetes, SQL",30d+
